,Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Dur,Age,Spent,Living_Status,Children_Count,Family_Member_Count,Is_Parent,Clusters
36,1,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,29376000000000000,54,913,1,1,3,1,0
37,2,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,57456000000000000,48,81,1,1,3,1,2
38,0,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,2937600000000000,51,67,0,1,2,1,3
39,1,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,60739200000000000,81,902,0,0,1,0,1
40,0,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,50630400000000000,44,1395,1,1,3,1,0
41,1,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,31795200000000000,39,53,1,1,3,1,2
42,0,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,61516800000000000,67,22,1,1,3,1,3
44,1,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,57369600000000000,49,31,1,1,3,1,2
45,0,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,13910400000000000,48,984,0,0,1,0,1
46,2,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,70502400000000000,28,122,1,0,2,0,2
47,0,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,48470400000000000,56,55,1,1,3,1,2
49,1,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,73180800000000000,70,1319,1,2,4,1,0
50,0,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,86400000000000,67,507,0,1,2,1,0
51,1,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,65491200000000000,60,1693,1,0,2,0,1
52,0,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,58147200000000000,47,72,0,1,2,1,2
53,0,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,13219200000000000,47,1617,0,0,1,0,1
54,0,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,31536000000000000,46,606,1,2,4,1,0
55,1,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,64540800000000000,69,1957,1,0,2,0,1
56,0,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,57888000000000000,58,1093,0,0,1,0,1
57,0,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,19180800000000000,36,29,0,1,2,1,2
59,1,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,24019200000000000,56,518,1,1,3,1,0
60,1,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,52531200000000000,42,1438,0,0,1,0,1
61,0,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,76032000000000000,49,612,1,2,4,1,0
62,0,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,56678400000000000,72,884,0,1,2,1,0
63,1,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,34128000000000000,73,606,0,1,2,1,0
64,0,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,46828800000000000,76,1076,1,0,2,0,1
65,0,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,48729600000000000,53,34,1,1,3,1,2
66,0,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2678400000000000,57,11,1,2,4,1,3
67,2,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,22636800000000000,45,1274,0,1,2,1,0
68,0,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,37584000000000000,66,653,1,1,3,1,0
69,0,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,42249600000000000,54,1562,1,3,5,1,0
70,1,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,65404800000000000,70,1253,1,0,2,0,1
72,0,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,54345600000000000,65,863,1,1,3,1,0
73,1,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50198400000000000,49,661,1,2,4,1,0
74,0,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,19008000000000000,72,65,1,0,2,0,2
75,0,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,61948800000000000,47,13,0,1,2,1,2
76,1,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,71798400000000000,52,1890,1,0,2,0,1
77,0,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,62726400000000000,48,2209,0,0,1,0,1
78,2,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,52358400000000000,48,18,1,0,2,0,2
79,0,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,58147200000000000,59,692,1,0,2,0,0
80,0,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,71625600000000000,39,165,0,1,2,1,2
81,0,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45878400000000000,55,16,1,1,3,1,2
82,2,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,55209600000000000,51,79,1,1,3,1,2
83,1,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,34214400000000000,61,318,1,0,2,0,2
84,0,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,24537600000000000,37,778,0,0,1,0,1
85,0,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,33955200000000000,64,56,1,2,4,1,3
86,1,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,43891200000000000,54,151,1,2,4,1,3
87,0,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,16588800000000000,67,372,0,1,2,1,0
88,0,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,86400000000000,51,1366,1,0,2,0,1
89,0,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,27561600000000000,57,194,1,1,3,1,3
93,1,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,22291200000000000,52,32,0,1,2,1,2
94,1,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,16934400000000000,54,43,1,1,3,1,2
95,0,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,17107200000000000,41,45,1,1,3,1,2
96,0,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,64281600000000000,64,606,0,1,2,1,0
97,0,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,34300800000000000,52,63,0,2,3,1,3
98,2,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,59875200000000000,73,978,1,0,2,0,1
99,1,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,46137600000000000,41,410,1,0,2,0,2
100,2,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,43286400000000000,64,72,0,1,2,1,2
101,1,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,21686400000000000,65,55,0,1,2,1,3
102,0,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,51408000000000000,45,1169,1,1,3,1,0
103,1,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,49075200000000000,79,1120,1,0,2,0,1
104,0,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,10627200000000000,65,1097,1,0,2,0,1
105,2,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,36288000000000000,45,29,1,1,3,1,2
106,0,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,37843200000000000,60,187,1,2,4,1,3
107,0,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,58060800000000000,55,910,1,2,4,1,0
108,0,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,61948800000000000,46,145,0,1,2,1,2
109,1,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,75772800000000000,64,850,1,0,2,0,1
110,0,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,57283200000000000,45,969,1,1,3,1,0
111,1,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,67910400000000000,33,1820,0,0,1,0,1
112,1,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,14169600000000000,61,608,1,1,3,1,0
113,0,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,58147200000000000,33,730,0,0,1,0,1
114,1,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,62553600000000000,44,551,1,1,3,1,0
115,0,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,36547200000000000,62,114,0,2,3,1,3
116,0,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,27302400000000000,54,1724,1,0,2,0,1
117,2,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,56592000000000000,46,577,1,1,3,1,0
118,2,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,34041600000000000,57,81,1,2,4,1,3
119,0,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33436800000000000,55,33,1,1,3,1,2
120,1,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,46137600000000000,71,660,1,1,3,1,0
121,1,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,24624000000000000,57,80,0,1,2,1,2
122,1,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,52358400000000000,39,30,1,2,4,1,2
123,0,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,51235200000000000,48,43,0,1,2,1,2
124,0,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,31795200000000000,41,1135,0,0,1,0,1
125,2,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,56678400000000000,59,559,1,0,2,0,1
126,0,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,51321600000000000,40,1923,0,0,1,0,1
127,1,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,10540800000000000,71,90,1,2,4,1,3
129,1,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,5356800000000000,68,661,1,2,4,1,0
130,0,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,37324800000000000,72,463,1,1,3,1,0
131,1,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,37065600000000000,66,632,0,2,3,1,0
132,0,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,5616000000000000,55,725,1,0,2,0,1
134,1,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,41385600000000000,60,279,1,2,4,1,0
135,1,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,54345600000000000,57,1482,1,0,2,0,1
136,2,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,73440000000000000,48,29,0,1,2,1,2
137,1,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,44668800000000000,65,106,1,3,5,1,3
138,1,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,17366400000000000,51,49,0,2,3,1,3
139,1,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,42854400000000000,59,38,0,2,3,1,3
140,1,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,67219200000000000,32,2077,0,0,1,0,1
141,1,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,33436800000000000,48,1053,1,1,3,1,0
142,0,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,51494400000000000,62,1385,1,0,2,0,1
143,1,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,40176000000000000,50,871,0,1,2,1,0
144,0,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,54172800000000000,36,312,1,1,3,1,2
145,0,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,67305600000000000,48,877,1,2,4,1,0
146,0,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,66441600000000000,49,68,1,1,3,1,2
147,0,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,40176000000000000,43,22,1,1,3,1,2
148,2,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,72230400000000000,51,211,1,3,5,1,0
149,1,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,14515200000000000,58,127,1,0,2,0,2
150,1,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,19526400000000000,71,459,1,2,4,1,0
151,0,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,13478400000000000,55,460,1,1,3,1,0
152,2,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,62380800000000000,52,429,1,1,3,1,0
153,0,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,86400000000000,36,89,0,1,2,1,2
154,1,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,70588800000000000,72,1021,1,1,3,1,0
155,0,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,56592000000000000,75,1381,1,0,2,0,1
156,0,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,41990400000000000,66,306,0,1,2,1,0
157,0,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,31276800000000000,46,18,0,3,4,1,3
158,0,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,35856000000000000,47,162,1,1,3,1,3
159,0,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,40867200000000000,69,1231,0,0,1,0,1
160,1,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,60307200000000000,66,13,0,3,4,1,3
161,1,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,81129600000000000,79,1706,1,0,2,0,0
162,0,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,18921600000000000,40,121,1,1,3,1,2
163,1,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,60480000000000000,49,1293,0,0,1,0,1
164,1,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,29116800000000000,51,1608,1,1,3,1,0
165,0,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,33523200000000000,58,88,1,3,5,1,3
166,0,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,33091200000000000,71,421,0,0,1,0,1
167,0,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,40176000000000000,65,259,0,0,1,0,2
168,0,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,57283200000000000,36,1117,0,0,1,0,1
169,0,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,24537600000000000,67,89,1,2,4,1,3
170,0,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,19785600000000000,59,36,1,2,4,1,3
171,0,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,44150400000000000,42,57,1,1,3,1,2
172,0,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,19785600000000000,54,148,1,2,4,1,3
173,1,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,26784000000000000,65,93,1,2,4,1,3
174,0,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,21254400000000000,57,119,0,1,2,1,3
175,1,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,62812800000000000,49,1835,1,1,3,1,0
176,1,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,62208000000000000,76,1318,1,0,2,0,1
177,1,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,17020800000000000,54,45,1,2,4,1,3
178,0,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,14256000000000000,65,10,1,3,5,1,3
179,2,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,59875200000000000,73,978,1,0,2,0,1
180,1,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,2678400000000000,48,191,1,1,3,1,3
181,2,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,5356800000000000,36,57,1,1,3,1,2
182,1,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,37497600000000000,78,1033,1,0,2,0,1
183,1,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,27475200000000000,40,66,1,1,3,1,2
184,2,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,15033600000000000,63,43,1,0,2,0,2
185,0,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,81043200000000000,41,50,1,1,3,1,2
186,1,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,10800000000000000,54,39,0,1,2,1,2
187,0,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,57542400000000000,58,608,1,1,3,1,0
188,0,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,54172800000000000,48,1581,1,0,2,0,1
189,1,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,56246400000000000,60,68,1,2,4,1,3
190,2,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,70675200000000000,46,80,1,1,3,1,2
191,1,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,49075200000000000,35,1282,1,0,2,0,1
193,0,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,47952000000000000,36,91,1,1,3,1,2
194,0,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,56678400000000000,51,315,1,2,4,1,0
195,0,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,29548800000000000,47,31,1,2,4,1,3
196,1,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,17884800000000000,44,834,1,0,2,0,1
197,0,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,38275200000000000,70,1600,1,0,2,0,1
198,0,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,59443200000000000,70,1270,1,0,2,0,1
199,1,46854.0,1,1,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,21600000000000000,51,263,0,2,3,1,0
